# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1209	1379	-	MMJGOB_00001	paaY	Phenylacetic acid degradation protein PaaY	SO:0001217, UniRef:UniRef50_A0A8S0FV48, UniRef:UniRef90_A0A8S0FV48
contig_1	cds	1453	1686	+	MMJGOB_00002	feaR	transcriptional regulator FeaR	GO:0000987, GO:0003700, GO:0006355, GO:0043565, GO:0045893, KEGG:K14063, RefSeq:WP_001296050.1, SO:0001217, UniParc:UPI000209C6B2, UniRef:UniRef100_A0A2X2ZIM5, UniRef:UniRef50_Q47129, UniRef:UniRef90_Q47129
contig_1	cds	1858	2184	-	MMJGOB_00003	ydbL	Uncharacterized protein YdbL	KEGG:K09978, RefSeq:WP_001296049.1, SO:0001217, UniParc:UPI000187BCFF, UniRef:UniRef100_A0A061Y9E6, UniRef:UniRef50_P76076, UniRef:UniRef90_P76076
contig_1	cds	2192	2377	-	MMJGOB_00004	ydbH	YdbH family protein	GO:0005886, RefSeq:WP_000698145.1, SO:0001217, UniParc:UPI000013BAEA, UniRef:UniRef100_P64448, UniRef:UniRef50_P52645, UniRef:UniRef90_P52645
contig_1	cds	2374	5013	-	MMJGOB_00005	ydbH	YdbH family protein	GO:0005886, RefSeq:WP_000900946.1, SO:0001217, UniParc:UPI0001C229AC, UniRef:UniRef100_A0A066SZY3, UniRef:UniRef50_P52645, UniRef:UniRef90_P52645
contig_1	cds	5221	6210	+	MMJGOB_00006	ldhA	D-lactate dehydrogenase	BlastRules:WP_000762236, COG:CHR, COG:COG1052, EC:1.1.1.28, GO:0005829, GO:0008720, GO:0009408, GO:0019664, GO:0042802, GO:0051289, GO:0070404, RefSeq:WP_000762229.1, SO:0001217, UniParc:UPI00000D07C0, UniRef:UniRef100_C3TB72, UniRef:UniRef50_P52643, UniRef:UniRef90_P52643
contig_1	cds	6321	6743	+	MMJGOB_00007	hslJ	heat shock protein HslJ	GO:0009408, RefSeq:WP_001296048.1, SO:0001217, UniParc:UPI00005EF5F3, UniRef:UniRef100_E2QLV9, UniRef:UniRef50_P52644, UniRef:UniRef90_P52644
contig_1	cds	6740	7006	-	MMJGOB_00008		DUF333 domain-containing protein	RefSeq:WP_001200675.1, SO:0001217, UniParc:UPI0001C229AB, UniRef:UniRef100_A0A066SV72, UniRef:UniRef50_P0ACW2, UniRef:UniRef90_A0A066SV72
contig_1	cds	7280	10804	+	MMJGOB_00009	nifJ	pyruvate:ferredoxin (flavodoxin) oxidoreductase	COG:C, COG:COG1143, EC:1.2.7.-, GO:0005506, GO:0006979, GO:0016903, GO:0022900, GO:0030976, GO:0043873, GO:0051539, KEGG:K03737, RefSeq:WP_000628229.1, SO:0001217, UniParc:UPI0001C229AA, UniRef:UniRef100_A0A066SZY8, UniRef:UniRef50_P52647, UniRef:UniRef90_P52647
contig_1	ncRNA	10825	10945	-	MMJGOB_00010	micC	MicC RNA	RFAM:RF00121, SO:0000655
contig_1	cds	11170	12303	+	MMJGOB_00011	ompN	porin OmpN	BlastRules:WP_063070036, GO:0009279, GO:0015288, GO:0016020, GO:0034219, GO:0034220, GO:0046930, RefSeq:WP_000837933.1, SO:0001217, UniParc:UPI00000E49EE, UniRef:UniRef100_A0A061LQ75, UniRef:UniRef50_P02931, UniRef:UniRef90_P77747
contig_1	cds	12444	12878	+	MMJGOB_00012	uspF	universal stress protein UspF	COG:COG0589, COG:T, GO:0005524, GO:0007155, GO:1902021, RefSeq:WP_001295593.1, SO:0001217, UniParc:UPI000000E2B1, UniRef:UniRef100_P0A4P7, UniRef:UniRef50_P37903, UniRef:UniRef90_P37903
contig_1	cds	13066	13335	+	MMJGOB_00013		Metal ABC transporter permease	RefSeq:WP_001531674.1, SO:0001217, UniParc:UPI0002A1B66F, UniRef:UniRef100_A0A061YAV2, UniRef:UniRef50_Q8GC61, UniRef:UniRef90_Q8GC61
