# Annotated with Bakta
# Software: v1.10.3
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	605	1414	-	BNMEEM_00001		Peptidase	SO:0001217, UniRef:UniRef50_S1ELW1, UniRef:UniRef90_A0A0K4M8E6
contig_1	cds	1528	2685	-	BNMEEM_00002	ydeM	anaerobic sulfatase maturase	COG:COG0641, COG:O, GO:0006974, GO:0016491, GO:0018209, GO:0046500, GO:0046872, GO:0051539, GO:0051604, RefSeq:WP_001296071.1, SO:0001217, UniParc:UPI0000DACE47, UniRef:UniRef100_A0A061KV67, UniRef:UniRef50_P76134, UniRef:UniRef90_P76134
contig_1	cds	2737	4419	-	BNMEEM_00003	ydeN	Uncharacterized sulfatase YdeN	COG:COG3119, COG:P, EC:3.1.6.-, GO:0004065, GO:0030288, GO:0046872, RefSeq:WP_001296072.1, SO:0001217, UniParc:UPI0000DACE48, UniRef:UniRef100_E2QM44, UniRef:UniRef50_P77318, UniRef:UniRef90_P77318
contig_1	cds	4821	5582	-	BNMEEM_00004	ydeO	acid stress response transcriptional regulator YdeO	BlastRules:WP_000060495, COG:COG2207, COG:K, GO:0003700, GO:0043565, RefSeq:WP_000060456.1, SO:0001217, UniParc:UPI0001C22E02, UniRef:UniRef100_A0A066SZF0, UniRef:UniRef50_P76135, UniRef:UniRef90_P76135
contig_1	cds	5657	5854	-	BNMEEM_00005	safA	two-component system connector SafA	BlastRules:WP_000543384, GO:0005886, RefSeq:WP_000543392.1, SO:0001217, UniParc:UPI0001C22E03, UniRef:UniRef100_A0A061YFS9, UniRef:UniRef50_Q7UCH6, UniRef:UniRef90_Q7UCH6
contig_1	cds	6102	8381	-	BNMEEM_00006	ydeP	acid resistance putative oxidoreductase YdeP	BlastRules:WP_000726691, COG:C, COG:COG0243, GO:0008863, GO:0030151, GO:0043546, GO:0051539, RefSeq:WP_000726720.1, SO:0001217, UniParc:UPI0001E8C77C, UniRef:UniRef100_F4SUN6, UniRef:UniRef50_P77561, UniRef:UniRef90_P77561
contig_1	cds	8720	9634	-	BNMEEM_00007	ydeQ	Uncharacterized fimbrial-like protein YdeQ	GO:0009289, GO:0043709, RefSeq:WP_001524709.1, SO:0001217, UniParc:UPI0002A300D7, UniRef:UniRef100_UPI0002A300D7, UniRef:UniRef50_P77588, UniRef:UniRef90_P77588
contig_1	cds	9694	10197	-	BNMEEM_00008	ydeR	Uncharacterized fimbrial-like protein YdeR	COG:COG3539, COG:N, GO:0009289, GO:0043709, KEGG:K07349, RefSeq:WP_000825467.1, SO:0001217, UniParc:UPI00000E49F9, UniRef:UniRef100_A0A061JZI8, UniRef:UniRef50_P77294, UniRef:UniRef90_P77294
contig_1	cds	10210	10740	-	BNMEEM_00009	fimA	Pilin (type 1 fimbrial protein)	COG:COG3539, COG:N, RefSeq:WP_000876787.1, SO:0001217, UniParc:UPI0001C22E06, UniRef:UniRef100_A0A3K3UDV8, UniRef:UniRef50_B7URN7, UniRef:UniRef90_A0A176ZW59
contig_1	cds	10754	13405	-	BNMEEM_00010	fimA	type 1 fimbrial major subunit FimA	COG:COG3188, COG:NW, GO:0007155, GO:0009279, GO:0009289, GO:0009297, GO:0015473, RefSeq:WP_001524710.1, SO:0001217, UniParc:UPI0002A2CED4, UniRef:UniRef100_UPI0002A2CED4, UniRef:UniRef50_P76137, UniRef:UniRef90_P76137
