# Annotated with Bakta
# Software: v1.10.3
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	18	251	+	NBGOBH_00001		Putative adhesin	RefSeq:WP_021533615.1, SO:0001217, UniParc:UPI000391466A, UniRef:UniRef100_A0A377KC23, UniRef:UniRef50_A0A7U9H6R6, UniRef:UniRef90_A0A0H2V4K6
contig_1	cds	376	1233	-	NBGOBH_00002	glxA	Transcriptional regulator GlxA, contains an amidase domain and an AraC-type DNA-binding HTH domain	COG:COG4977, COG:K, KEGG:K05804, RefSeq:WP_000620996.1, SO:0001217, UniParc:UPI00019F3761, UniRef:UniRef100_A0A426P4I2, UniRef:UniRef50_W1WIC9, UniRef:UniRef90_W1WIC9
contig_1	cds	1481	2350	+	NBGOBH_00003	aRA1	Aldo/keto reductase, related to diketogulonate reductase	COG:COG0656, COG:Q, RefSeq:WP_001295799.1, SO:0001217, UniParc:UPI0000DACD27, UniRef:UniRef100_A0A066SX16, UniRef:UniRef50_A0A0F3V0K9, UniRef:UniRef90_A0A0F3V0K9
contig_1	cds	2510	3103	-	NBGOBH_00004	rclC	reactive chlorine species resistance protein RclC	BlastRules:WP_001299021, COG:COG3059, COG:V, GO:0005886, GO:1901530, RefSeq:WP_001298546.1, SO:0001217, UniParc:UPI00005EFB75, UniRef:UniRef100_A0A0D8W027, UniRef:UniRef50_P75685, UniRef:UniRef90_P75685
contig_1	cds	3460	4785	-	NBGOBH_00005	rclA	reactive chlorine resistance oxidoreductase RclA	GO:0008823, GO:0016651, GO:0016668, GO:0042803, GO:0050660, GO:1901530, RefSeq:WP_001046333.1, SO:0001217, UniParc:UPI000160893A, UniRef:UniRef100_A0A828UEB3, UniRef:UniRef50_P77212, UniRef:UniRef90_P77212
contig_1	cds	5012	5866	+	NBGOBH_00006	rclR	DNA-binding transcriptional regulator RclR	BlastRules:WP_000339594, COG:COG2207, COG:K, RefSeq:WP_001304864.1, SO:0001217, UniParc:UPI00019F3760, UniRef:UniRef100_A0A9Y1DN03, UniRef:UniRef50_P77379, UniRef:UniRef90_A0A066SXF4
contig_1	cds	6392	7111	+	NBGOBH_00007	ykgE	Uncharacterized protein YkgE	COG:C, COG:COG0247, GO:0005829, RefSeq:WP_001102123.1, SO:0001217, UniParc:UPI00000DE7B1, UniRef:UniRef100_A0A2R9W7T8, UniRef:UniRef50_P77252, UniRef:UniRef90_P77252
contig_1	cds	7122	8549	+	NBGOBH_00008	ykgF	LutB/LldF family L-lactate oxidation iron-sulfur protein	COG:C, COG:COG1139, GO:0009055, GO:0019516, GO:0046872, GO:0051536, GO:0051539, RefSeq:WP_000023919.1, SO:0001217, UniParc:UPI00000DE7B2, UniRef:UniRef100_A0A0C2ES15, UniRef:UniRef50_P77536, UniRef:UniRef90_P77536
contig_1	cds	8542	9237	+	NBGOBH_00009	ykgG	Uncharacterized protein YkgG	COG:C, COG:COG1556, GO:0005829, RefSeq:WP_001298555.1, SO:0001217, UniParc:UPI00005EFB70, UniRef:UniRef100_A0A0D8W2D0, UniRef:UniRef50_P77433, UniRef:UniRef90_P77433
contig_1	cds	9480	10148	-	NBGOBH_00010		Inner membrane protein	RefSeq:WP_001005270.1, SO:0001217, UniParc:UPI00000DE7B4, UniRef:UniRef100_A0A641I509, UniRef:UniRef50_P77180, UniRef:UniRef90_A0A0H3EGB8
