# Annotated with Bakta
# Software: v1.10.3
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	565	1236	-	ILEDPB_00001	yaiS	Uncharacterized deacetylase YaiS	COG:COG2120, COG:G, EC:3.-.-.-, GO:0016811, RefSeq:WP_000362014.1, SO:0001217, UniParc:UPI0000DACD3F, UniRef:UniRef100_A0A0D8VZB7, UniRef:UniRef50_P71311, UniRef:UniRef90_P71311
contig_1	cds	1844	2806	+	ILEDPB_00002	tauA	taurine ABC transporter substrate-binding protein	COG:COG4521, COG:P, EC:7.2.2.-, GO:0009970, GO:0010438, GO:0015411, GO:0015734, GO:0016020, GO:0022857, GO:0030288, GO:0042597, GO:0042918, GO:0043190, GO:0055052, GO:0055085, RefSeq:WP_001298534.1, SO:0001217, UniParc:UPI00005EFB33, UniRef:UniRef100_A0A192EKN2, UniRef:UniRef50_Q47537, UniRef:UniRef90_Q47537
contig_1	cds	2819	3586	+	ILEDPB_00003	tauB	taurine ABC transporter ATP-binding subunit	COG:COG4525, COG:P, EC:7.6.2.7, GO:0005524, GO:0005886, GO:0015411, GO:0016020, GO:0016887, RefSeq:WP_000939359.1, SO:0001217, UniParc:UPI00005EFB34, UniRef:UniRef100_Q0TKS1, UniRef:UniRef50_Q47538, UniRef:UniRef90_Q47538
contig_1	cds	3583	4410	+	ILEDPB_00004	tauC	taurine ABC transporter permease TauC	COG:COG0600, COG:P, EC:7.2.2.-, GO:0005886, GO:0010438, GO:0015411, GO:0016020, GO:0055052, GO:0055085, RefSeq:WP_000114579.1, SO:0001217, UniParc:UPI00005EFB35, UniRef:UniRef100_A0A023KUF2, UniRef:UniRef50_Q47539, UniRef:UniRef90_Q47539
contig_1	cds	4407	5258	+	ILEDPB_00005	tauD	taurine dioxygenase	COG:COG2175, COG:Q, EC:1.14.11.17, GO:0000908, GO:0005737, GO:0006790, GO:0008198, GO:0016491, GO:0019529, GO:0031418, GO:0042802, GO:0051289, GO:1990205, RefSeq:WP_000004068.1, SO:0001217, UniParc:UPI00005EFB36, UniRef:UniRef100_A0A454A1R5, UniRef:UniRef50_P37610, UniRef:UniRef90_P37610
contig_1	cds	5298	6272	-	ILEDPB_00006	hemB	porphobilinogen synthase	COG:COG0113, COG:H, EC:4.2.1.24, GO:0004655, GO:0006782, GO:0033014, GO:0046872, RefSeq:WP_001295337.1, SO:0001217, UniParc:UPI000016F200, UniRef:UniRef100_P0ACB2, UniRef:UniRef50_P0ACB2, UniRef:UniRef90_P0ACB2
contig_1	cds	6798	9785	+	ILEDPB_00007		Autotransporter outer membrane beta-barrel domain-containing protein	RefSeq:WP_000556418.1, SO:0001217, UniParc:UPI00005EFB37, UniRef:UniRef100_A0A135PHH9, UniRef:UniRef50_P77199, UniRef:UniRef90_A0A8H9SPY2
contig_1	cds	9871	10494	+	ILEDPB_00008	iprA	hydrogen peroxide resistance inhibitor IprA	RefSeq:WP_001298535.1, SO:0001217, UniParc:UPI0000DACD41, UniRef:UniRef100_A0A0G9FS82, UniRef:UniRef50_Q8ZRF7, UniRef:UniRef90_A0A0G9FS82
contig_1	cds	10495	11652	-	ILEDPB_00009	ampH	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH	COG:COG1680, COG:V, EC:3.4.-.-, GO:0004175, GO:0004180, GO:0005886, GO:0006508, GO:0008360, GO:0008658, GO:0009253, GO:0071555, RefSeq:WP_000830766.1, SO:0001217, UniParc:UPI00000DE7E1, UniRef:UniRef100_A0A0D6I635, UniRef:UniRef50_P0AD71, UniRef:UniRef90_P0AD71
contig_1	cds	12004	13224	+	ILEDPB_00010	sbmA	peptide antibiotic transporter SbmA	COG:COG1133, COG:V, GO:0005524, GO:0005886, GO:0015031, GO:0015291, GO:0015638, GO:0015833, GO:0019534, GO:0042803, GO:0042884, GO:0042885, GO:0046677, GO:1901998, GO:1904680, KEGG:K17938, RefSeq:WP_001298543.1, SO:0001217, UniParc:UPI0000DACD43, UniRef:UniRef100_A0A192EM76, UniRef:UniRef50_P0AFY7, UniRef:UniRef90_P0AFY7
contig_1	cds	13237	14331	+	ILEDPB_00011	yaiW	surface-exposed outer membrane lipoprotein YaiW	BlastRules:WP_000092067, BlastRules:WP_001271421, GO:0005829, GO:0031240, GO:1901652, RefSeq:WP_000092069.1, SO:0001217, UniParc:UPI00000DE7E4, UniRef:UniRef100_W8STI4, UniRef:UniRef50_P77562, UniRef:UniRef90_P77562
contig_1	cds	14390	14698	-	ILEDPB_00012		Inner membrane protein	RefSeq:WP_000763144.1, SO:0001217, UniParc:UPI00005EFB3A, UniRef:UniRef100_A0A192EMJ9, UniRef:UniRef50_P0AAP9, UniRef:UniRef90_Q32JC6
contig_1	cds	14958	15170	+	ILEDPB_00013	yaiZ	Uncharacterized protein YaiZ	GO:0005886, RefSeq:WP_001295334.1, SO:0001217, UniParc:UPI000013A0DF, UniRef:UniRef100_P0AAQ1, UniRef:UniRef50_P0AAQ1, UniRef:UniRef90_P0AAQ1
contig_1	cds	15194	16288	-	ILEDPB_00014	ddlA	D-alanine--D-alanine ligase	COG:COG1181, COG:MR, EC:6.3.2.4, GO:0005524, GO:0005737, GO:0008360, GO:0008716, GO:0009252, GO:0046872, GO:0071555, RefSeq:WP_000413685.1, SO:0001217, UniParc:UPI000012909D, UniRef:UniRef100_Q8FKE3, UniRef:UniRef50_P0A1F1, UniRef:UniRef90_P0A6J9
contig_1	cds	16751	17011	+	ILEDPB_00015	iraP	anti-adapter protein IraP	GO:0005737, GO:0009267, RefSeq:WP_000792973.1, SO:0001217, UniParc:UPI00000DE7E7, UniRef:UniRef100_B7UJK6, UniRef:UniRef50_A9MMS6, UniRef:UniRef90_Q32JD0
contig_1	cds	17112	18527	+	ILEDPB_00016	phoA	alkaline phosphatase	COG:COG1785, COG:PR, EC:3.1.3.1, GO:0004035, GO:0016791, GO:0042597, GO:0046872, KEGG:K01077, RefSeq:WP_001298539.1, SO:0001217, UniParc:UPI00005EFB3B, UniRef:UniRef100_A0A454A1T0, UniRef:UniRef50_P00634, UniRef:UniRef90_P00634
