# Annotated with Bakta
# Software: v1.10.1
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	134	916	+	EIMLPH_00001	hyi	HPr family phosphocarrier protein	COG:COG3622, COG:G, RefSeq:WP_004176276.1, SO:0001217, UniParc:UPI000282F002, UniRef:UniRef100_A0A0T5INE6, UniRef:UniRef50_Q57151, UniRef:UniRef90_A0A1L5HBZ0
contig_1	cds	974	2338	+	EIMLPH_00002	gntT	GntP family transporter	COG:COG2610, COG:G, GO:0015128, GO:0016020, GO:0035429, RefSeq:WP_002903916.1, SO:0001217, UniParc:UPI000205CE35, UniRef:UniRef100_A0A086I476, UniRef:UniRef50_Q46892, UniRef:UniRef90_A0A086I476
contig_1	cds	2365	3306	-	EIMLPH_00003	araC	AraC-type DNA-binding domain and AraC-containing proteins	COG:COG2207, COG:K, SO:0001217, UniParc:UPI000157615D, UniRef:UniRef100_A0A332GFV7, UniRef:UniRef50_A0A658ZYW7, UniRef:UniRef90_A0A658ZYW7
contig_1	cds	3602	4213	+	EIMLPH_00004		HTH luxR-type domain-containing protein	RefSeq:WP_002903816.1, SO:0001217, UniParc:UPI000157615C, UniRef:UniRef100_A0A0F0JS33, UniRef:UniRef50_A0A8B6IR71, UniRef:UniRef90_A0A8B6IR71
contig_1	cds	4764	5981	+	EIMLPH_00005	eAL	EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)	COG:COG2200, COG:T, KEGG:K21973, RefSeq:WP_004143607.1, SO:0001217, UniParc:UPI000157615B, UniRef:UniRef100_A0A0E1GWN2, UniRef:UniRef50_A0A919HQV3, UniRef:UniRef90_A0A0E1GWN2
contig_1	cds	6002	6514	-	EIMLPH_00006	pncC	2-oxo-tetronate isomerase	COG:COG1546, COG:H, RefSeq:WP_002903810.1, SO:0001217, UniParc:UPI000157615A, UniRef:UniRef100_A0A0S3FJA5, UniRef:UniRef50_A0A0S3FJA5, UniRef:UniRef90_A0A0S3FJA5
contig_1	cds	6680	7153	-	EIMLPH_00007	ibpA	Small heat shock protein IbpA, HSP20 family	COG:COG0071, COG:O, RefSeq:WP_002903808.1, SO:0001217, UniParc:UPI000205CE37, UniRef:UniRef100_A0A086I753, UniRef:UniRef50_W9BGQ4, UniRef:UniRef90_W9BGQ4
contig_1	ncRNA-region	7147	7211	-			FourU thermometer RNA element	RFAM:RF01795, SO:0002168
contig_1	cds	7651	7755	+	EIMLPH_00008		hypothetical protein	SO:0001217, UniParc:UPI0001A58530, UniRef:UniRef100_A0A0C7KD72, UniRef:UniRef50_A0A8B6IMM2, UniRef:UniRef90_A0A0C7KD72
contig_1	cds	8165	8800	+	EIMLPH_00009	citB	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains	COG:COG2197, COG:TK, RefSeq:WP_020316501.1, SO:0001217, UniParc:UPI00030D8553, UniRef:UniRef100_A0A486MZL2, UniRef:UniRef50_R4Y905, UniRef:UniRef90_R4Y905
