# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1067	1285	-	AIGDFM_00001	infA	translation initiation factor IF-1	COG:COG0361, COG:J, GO:0003743, GO:0005829, GO:0006413, GO:0019843, GO:0043022, KEGG:K02518, RefSeq:WP_001040187.1, SO:0001217, UniParc:UPI000005A08B, UniRef:UniRef100_A8AIJ9, UniRef:UniRef50_Q8EDW6, UniRef:UniRef90_Q8EDW6
contig_1	cds	1570	2274	-	AIGDFM_00002	aat	leucyl/phenylalanyl-tRNA--protein transferase	COG:COG2360, COG:O, EC:2.3.2.6, GO:0005737, GO:0006508, GO:0008914, GO:0030163, RefSeq:WP_001241674.1, SO:0001217, UniParc:UPI0001C22944, UniRef:UniRef100_A0A061YIE7, UniRef:UniRef50_P0A8P1, UniRef:UniRef90_P0A8P1
contig_1	cds	2316	4037	-	AIGDFM_00003	cydC	heme ABC transporter ATP-binding protein/permease CydC	COG:CO, COG:COG4987, EC:7.4.2.-, GO:0005524, GO:0005886, GO:0015439, GO:0016020, GO:0016887, GO:0033228, GO:0034775, GO:0035351, GO:0042626, GO:0043190, GO:0045454, GO:0055051, GO:0140359, GO:1903605, RefSeq:WP_001202204.1, SO:0001217, UniParc:UPI0001C22945, UniRef:UniRef100_A0A061YAB1, UniRef:UniRef50_P23886, UniRef:UniRef90_P23886
contig_1	cds	4038	5804	-	AIGDFM_00004	cydD	heme ABC transporter permease/ATP-binding protein CydD	COG:CO, COG:COG4988, EC:7.4.2.-, GO:0005524, GO:0005886, GO:0015439, GO:0016020, GO:0016887, GO:0033228, GO:0034040, GO:0034775, GO:0035351, GO:0043190, GO:0045454, GO:0055051, GO:0055085, GO:0140359, GO:1903605, RefSeq:WP_001043561.1, SO:0001217, UniParc:UPI00000DE941, UniRef:UniRef100_E2QJA1, UniRef:UniRef50_P29018, UniRef:UniRef90_P29018
contig_1	cds	5927	6997	-	AIGDFM_00005	trxB	thioredoxin-disulfide reductase	EC:1.8.1.9, GO:0004791, GO:0019430, KEGG:K00384, SO:0001217, UniParc:UPI000209C506, UniRef:UniRef100_A0A066T755, UniRef:UniRef50_Q93HX6, UniRef:UniRef90_A0A1Y5BF13
contig_1	cds	7436	7930	+	AIGDFM_00006	lrp	leucine-responsive transcriptional regulator Lrp	COG:COG1522, COG:K, GO:0005829, GO:0006355, GO:0006524, GO:0043201, GO:0043565, RefSeq:WP_000228473.1, SO:0001217, UniParc:UPI00001653E1, UniRef:UniRef100_P0ACJ0, UniRef:UniRef50_P0ACJ0, UniRef:UniRef90_P0ACJ0
contig_1	cds	8065	12171	+	AIGDFM_00007	ftsK	DNA translocase FtsK	BlastRules:WP_001542260, GO:0003677, GO:0005524, RefSeq:WP_000077041.1, SO:0001217, UniParc:UPI00021858E3, UniRef:UniRef100_A0A061YIF2, UniRef:UniRef50_P46889, UniRef:UniRef90_A0A061YIF2
contig_1	cds	12330	12941	+	AIGDFM_00008	lolA	outer membrane lipoprotein chaperone LolA	COG:COG2834, COG:M, GO:0030288, GO:0042597, GO:0042953, GO:0044874, KEGG:K03634, RefSeq:WP_001295343.1, SO:0001217, UniParc:UPI000012E7AE, UniRef:UniRef100_P61316, UniRef:UniRef50_P61316, UniRef:UniRef90_P61316
contig_1	cds	12952	14295	+	AIGDFM_00009	rarA	replication-associated recombination protein RarA	BlastRules:WP_000067755, KEGG:K07478, RefSeq:WP_000067797.1, SO:0001217, UniParc:UPI0000D5079B, UniRef:UniRef100_A0A061KP34, UniRef:UniRef50_P0AAZ4, UniRef:UniRef90_A0A061KP34
contig_1	cds	14386	15678	+	AIGDFM_00010	serS	serine--tRNA ligase	COG:COG0172, COG:J, EC:6.1.1.11, GO:0000166, GO:0004828, GO:0005524, GO:0005737, GO:0006434, GO:0016260, KEGG:K01875, RefSeq:WP_000886683.1, SO:0001217, UniParc:UPI000013667C, UniRef:UniRef100_P0A8L1, UniRef:UniRef50_P0A8L1, UniRef:UniRef90_P0A8L1
contig_1	ncRNA	15692	15826	-	AIGDFM_00011	STnc130	Enterobacteria sRNA STnc130	RFAM:RF02084, SO:0000655
contig_1	cds	15917	18361	+	AIGDFM_00012	dmsA	dimethylsulfoxide reductase subunit A	COG:C, COG:COG0243, EC:1.8.5.3, GO:0005886, GO:0009055, GO:0009061, GO:0009389, GO:0009390, GO:0018907, GO:0019645, GO:0030151, GO:0030288, GO:0043546, GO:0051539, RefSeq:WP_000850306.1, SO:0001217, UniParc:UPI00005EEE7C, UniRef:UniRef100_A0A066SWM9, UniRef:UniRef50_P18775, UniRef:UniRef90_P18775
contig_1	cds	18372	18989	+	AIGDFM_00013	ynfG	DMSO/selenate family reductase complex B subunit	COG:C, COG:COG0437, EC:1.8.5.3, GO:0009061, GO:0046872, GO:0051539, GO:1990204, RefSeq:WP_000213098.1, SO:0001217, UniParc:UPI000016805B, UniRef:UniRef100_P18776, UniRef:UniRef50_P18776, UniRef:UniRef90_P18776
contig_1	cds	18991	19854	+	AIGDFM_00014	dmsC	dimethyl sulfoxide reductase anchor subunit DmsC	BlastRules:WP_000534637, EC:1.8.5.3, GO:0005886, GO:0009061, GO:0009389, GO:0009390, GO:0018907, GO:0019645, RefSeq:WP_000534666.1, SO:0001217, UniParc:UPI0001C22995, UniRef:UniRef100_A0A066T4N4, UniRef:UniRef50_P18777, UniRef:UniRef90_P18777
contig_1	cds	19890	20516	-	AIGDFM_00015	ycaC	isochorismate family cysteine hydrolase YcaC	COG:COG1335, COG:HR, EC:4.-.-.-, GO:0005829, GO:0016020, GO:0016787, GO:0016829, GO:0042802, RefSeq:WP_000165876.1, SO:0001217, UniParc:UPI00000D026E, UniRef:UniRef100_C3TGG7, UniRef:UniRef50_P21367, UniRef:UniRef90_P21367
contig_1	cds	20830	21978	+	AIGDFM_00016	ycaD	MFS transporter	COG:COG2814, COG:G, GO:0005886, GO:0022857, KEGG:K08219, RefSeq:WP_000109283.1, SO:0001217, UniParc:UPI00005EF841, UniRef:UniRef100_Q0TJF2, UniRef:UniRef50_P21503, UniRef:UniRef90_P21503
contig_1	cds	22075	22815	-	AIGDFM_00017	pflA	pyruvate formate lyase 1-activating protein	COG:COG1180, COG:O, EC:1.97.1.4, GO:0005737, GO:0006006, GO:0043365, GO:0046872, GO:0051539, RefSeq:WP_000111043.1, SO:0001217, UniParc:UPI00001653E2, UniRef:UniRef100_P0A9N4, UniRef:UniRef50_P0A9N4, UniRef:UniRef90_P0A9N4
