# Annotated with Bakta
# Software: v1.10.1
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1486	1692	-	JDPFID_00001		Head completion protein gp3	GO:0019058, GO:0044423, RefSeq:WP_000258993.1, SO:0001217, UniParc:UPI00000DEA4F, UniRef:UniRef100_A0A086V7V7, UniRef:UniRef50_P68655, UniRef:UniRef90_P68655
contig_1	cds	1676	3604	-	JDPFID_00002	gpA1	Phage terminase, large subunit GpA	COG:COG5525, COG:X, RefSeq:WP_001309424.1, SO:0001217, UniParc:UPI0001CF592D, UniRef:UniRef100_A0A0A0H5R4, UniRef:UniRef50_B2TZ63, UniRef:UniRef90_B2TZ63
contig_1	cds	3576	4085	-	JDPFID_00003		Prophage Qin DNA packaging protein NU1-like protein	RefSeq:WP_000235436.1, SO:0001217, UniParc:UPI00000D08CE, UniRef:UniRef100_A0A066Q1C8, UniRef:UniRef50_A0A066Q1C8, UniRef:UniRef90_A0A0J5YYK9
contig_1	cds	4568	4921	+	JDPFID_00004		hypothetical protein	RefSeq:WP_001322427.1, SO:0001217, UniParc:UPI0001888890, UniRef:UniRef100_A0A148HGA6, UniRef:UniRef50_A0A148HGA6, UniRef:UniRef90_A0A148HGA6
contig_1	cds	5044	5370	-	JDPFID_00005	tonB	Protein TonB	RefSeq:WP_000830178.1, SO:0001217, UniParc:UPI0000DACDF5, UniRef:UniRef100_A0A2S4AFN2, UniRef:UniRef50_A0A0K6A7E4, UniRef:UniRef90_A0A2S4AFN2
contig_1	cds	5682	6140	-	JDPFID_00006		Endopeptidase (Lysis protein) from bacteriophage origin	RefSeq:WP_000947131.1, SO:0001217, UniParc:UPI0001DBD165, UniRef:UniRef100_A0A086V7V3, UniRef:UniRef50_Q9XJJ6, UniRef:UniRef90_A0A376VVP2
contig_1	cds	6152	6283	-	JDPFID_00007		hypothetical protein	RefSeq:WP_001280932.1, SO:0001217, UniParc:UPI000173FE2E, UniRef:UniRef100_A0A086V7V2, UniRef:UniRef50_A0A086V7V2, UniRef:UniRef90_A0A086V7V2
contig_1	cds	6298	6444	-	JDPFID_00008		Transmembrane protein	RefSeq:WP_000788415.1, SO:0001217, UniParc:UPI0001E96366, UniRef:UniRef100_A0A086V7V1, UniRef:UniRef50_A0A193LVQ4, UniRef:UniRef90_A0A193LVQ4
contig_1	cds	6637	7170	-	JDPFID_00009		SAR-endolysin	EC:3.2.1.17, GO:0003796, GO:0009253, GO:0016020, GO:0016998, GO:0020002, GO:0031640, GO:0042742, RefSeq:WP_001545912.1, SO:0001217, UniParc:UPI0002A35AF5, UniRef:UniRef100_A0A7Z1I9R2, UniRef:UniRef50_O64362, UniRef:UniRef90_Q9ZXB7
contig_1	cds	7207	8097	-	JDPFID_00010		Phage protein	RefSeq:WP_001545911.1, SO:0001217, UniParc:UPI0002A447AA, UniRef:UniRef100_A0A0A0H2W5, UniRef:UniRef50_B7N3K0, UniRef:UniRef90_B7N3K0
contig_1	cds	8102	8317	-	JDPFID_00011		Class II holin family protein	RefSeq:WP_000284506.1, SO:0001217, UniParc:UPI000005FCF0, UniRef:UniRef100_A0A066RAB2, UniRef:UniRef50_A0A376DB07, UniRef:UniRef90_A0A066RAB2
contig_1	cds	8467	8628	-	JDPFID_00012		Prophage protein	RefSeq:WP_001545910.1, SO:0001217, UniParc:UPI0002A2F62D, UniRef:UniRef100_A0A7Z1D716, UniRef:UniRef50_A0A660HBH2, UniRef:UniRef90_A0A1X9TP63
contig_1	cds	8625	8813	-	JDPFID_00013		DUF1737 domain-containing protein	SO:0001217, UniRef:UniRef50_I6CM89, UniRef:UniRef90_I6CM89
contig_1	cds	9074	9409	+	JDPFID_00014	iraM	Anti-adapter protein IraM	GO:0005737, GO:0009267, RefSeq:WP_000871291.1, SO:0001217, UniParc:UPI000000E1F8, UniRef:UniRef100_B7UQ15, UniRef:UniRef50_Q9EUE4, UniRef:UniRef90_B7UQ15
contig_1	ncRNA	9435	9624	-	JDPFID_00015	STnc100	Gammaproteobacterial sRNA STnc100	RFAM:RF02076, SO:0000655
contig_1	tRNA	10321	10397	-	JDPFID_00016	trnR	tRNA-Arg(tct)	SO:0001036
contig_1	tRNA	10411	10487	-	JDPFID_00017	trnR	tRNA-Arg(tcg)	SO:0001036
contig_1	tRNA	10495	10570	-	JDPFID_00018	trnI	tRNA-Ile2(cat)	SO:0000263
contig_1	cds	10714	11535	-	JDPFID_00019		Antitermination protein Q	RefSeq:WP_001545909.1, SO:0001217, UniParc:UPI0002A3DBD4, UniRef:UniRef100_A0A0A0GY49, UniRef:UniRef50_A0A653FU69, UniRef:UniRef90_A0A653FU69
contig_1	cds	11550	11912	-	JDPFID_00020	rusA	Holliday junction resolvase RusA (prophage-encoded endonuclease)	COG:COG4570, COG:L, EC:3.1.21.10, KEGG:K01160, RefSeq:WP_000139998.1, SO:0001217, UniParc:UPI0002A26EBC, UniRef:UniRef100_A0A1X9TPM6, UniRef:UniRef50_Q9MCN8, UniRef:UniRef90_A0A0K3WJT8
contig_1	cds	11913	12971	-	JDPFID_00021		HNH nuclease domain-containing protein	RefSeq:WP_001545908.1, SO:0001217, UniParc:UPI0002A3283A, UniRef:UniRef100_A0A7Z1CYX4, UniRef:UniRef50_P76162, UniRef:UniRef90_A0A777E2X1
contig_1	cds	13413	13568	-	JDPFID_00022	hokD	type I toxin-antitoxin system toxin HokD	BlastRules:WP_000813254, GO:0005886, RefSeq:WP_000813254.1, SO:0001217, UniParc:UPI000012CABF, UniRef:UniRef100_P0ACG7, UniRef:UniRef50_P0ACG7, UniRef:UniRef90_P0ACG7
contig_1	ncRNA	13566	13737	-	JDPFID_00023	sok	sok antitoxin (CssrC)	RFAM:RF01794, SO:0000655
contig_1	cds	13827	14006	-	JDPFID_00024		Lipoprotein	SO:0001217, UniParc:UPI00017A922C, UniRef:UniRef100_A0A2X3KGA6, UniRef:UniRef50_A0A0K9T7X0, UniRef:UniRef90_A0A822UFD0
contig_1	cds	14177	14491	-	JDPFID_00025		Bacteriophage protein	SO:0001217, UniParc:UPI0002A423E1, UniRef:UniRef100_A0A7Z1CZE5, UniRef:UniRef50_A0A0J2E0L8, UniRef:UniRef90_A0A7Z1CZE5
contig_1	cds	14488	14664	-	JDPFID_00026		Prophage protein	RefSeq:WP_000753058.1, SO:0001217, UniParc:UPI000188741E, UniRef:UniRef100_A0A0J3V3A4, UniRef:UniRef50_A0A0H2V8I1, UniRef:UniRef90_A0A0H2V8I1
contig_1	cds	14657	14839	-	JDPFID_00027		Prophage protein	RefSeq:WP_001224662.1, SO:0001217, UniParc:UPI0000043A5D, UniRef:UniRef100_A0A066Q195, UniRef:UniRef50_A0A193LU15, UniRef:UniRef90_A0A193LU15
