# Annotated with Bakta
# Software: v1.10.3
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	163	3681	+	HBKBFK_00001	mfd	transcription-repair coupling factor	COG:COG1197, COG:LK, EC:3.6.1.-, EC:3.6.4.-, GO:0000716, GO:0003676, GO:0003677, GO:0003684, GO:0005524, GO:0005829, GO:0006281, GO:0006283, GO:0006294, GO:0006355, GO:0006974, GO:0015616, GO:0016787, GO:0043175, GO:1990391, SO:0001217, UniParc:UPI0002A3018B, UniRef:UniRef100_A0A061L1M6, UniRef:UniRef50_P30958, UniRef:UniRef90_P30958
contig_1	cds	3827	4699	+	HBKBFK_00002	erfK	Lipoprotein-anchoring transpeptidase ErfK/SrfK	COG:COG1376, COG:M, KEGG:K19236, RefSeq:WP_048958656.1, SO:0001217, UniParc:UPI0006685430, UniRef:UniRef100_UPI000930BC54, UniRef:UniRef50_A0A377A4D7, UniRef:UniRef90_UPI001124E70D
contig_1	cds	4782	5039	-	HBKBFK_00003	bhsA	multiple stress resistance protein BhsA	BlastRules:WP_000800153, GO:0009279, GO:0044010, GO:0046688, RefSeq:WP_000800153.1, SO:0001217, UniParc:UPI000013A683, UniRef:UniRef100_P0AB42, UniRef:UniRef50_P0AB42, UniRef:UniRef90_P0AB42
contig_1	cds	5280	5912	+	HBKBFK_00004	comR	TetR family copper-responsive transcriptional repressor ComR	BlastRules:WP_001336528, COG:COG1309, COG:K, GO:0000976, GO:0003677, GO:0003700, GO:0006355, GO:0045892, GO:0046688, RefSeq:WP_001295967.1, SO:0001217, UniParc:UPI0002185A4C, UniRef:UniRef100_A0A066SWU8, UniRef:UniRef50_P75952, UniRef:UniRef90_P75952
contig_1	cds	5974	6513	-	HBKBFK_00005	ycfJ	Uncharacterized protein YcfJ	COG:COG3134, COG:S, GO:0019867, RefSeq:WP_001043459.1, SO:0001217, UniParc:UPI000013A67C, UniRef:UniRef100_P0AB36, UniRef:UniRef50_P0AB36, UniRef:UniRef90_P0AB36
contig_1	cds	6740	8044	-	HBKBFK_00006	ndh	NADH-quinone dehydrogenase	BlastRules:WP_000211045, COG:C, COG:COG1252, EC:1.6.5.9, GO:0005886, GO:0008137, GO:0009060, GO:0009061, GO:0019646, GO:0030964, GO:0050660, GO:0055070, RefSeq:WP_001295966.1, SO:0001217, UniParc:UPI0000DACDDA, UniRef:UniRef100_E2QKJ3, UniRef:UniRef50_P00393, UniRef:UniRef90_P00393
contig_1	cds	8443	8985	-	HBKBFK_00007	ycfP	alpha/beta hydrolase YcfP	GO:0005829, RefSeq:WP_000587933.1, SO:0001217, UniParc:UPI000013A681, UniRef:UniRef100_A7ZKL2, UniRef:UniRef50_A9MGA5, UniRef:UniRef90_A7ZKL2
contig_1	cds	9008	10033	-	HBKBFK_00008	nagZ	beta-N-acetylhexosaminidase	COG:COG1472, COG:G, EC:3.2.1.52, GO:0004553, GO:0004563, GO:0005737, GO:0005975, GO:0007049, GO:0008360, GO:0009252, GO:0009254, GO:0051301, GO:0071555, GO:0102148, RefSeq:WP_000529298.1, SO:0001217, UniParc:UPI000176C09A, UniRef:UniRef100_B7UPC3, UniRef:UniRef50_B4EVE7, UniRef:UniRef90_B5F8E5
contig_1	cds	10044	10868	-	HBKBFK_00009	thiK	thiamine kinase	COG:COG0510, COG:H, EC:2.7.1.89, GO:0005524, GO:0006772, GO:0009229, GO:0016310, GO:0019165, RefSeq:WP_001116601.1, SO:0001217, UniParc:UPI00000DEA1D, UniRef:UniRef100_Q8FIN3, UniRef:UniRef50_Q8ZQ07, UniRef:UniRef90_Q8X8G6
contig_1	cds	10849	11490	-	HBKBFK_00010	lpoB	penicillin-binding protein activator LpoB	COG:COG3417, COG:M, GO:0008047, GO:0008360, GO:0009252, GO:0009279, GO:0019899, GO:0030234, GO:0031241, RefSeq:WP_000164453.1, SO:0001217, UniParc:UPI0002185A4B, UniRef:UniRef100_A0A061YHG5, UniRef:UniRef50_C9Y1J4, UniRef:UniRef90_P0AB39
contig_1	cds	11504	11881	-	HBKBFK_00011		Lipoprotein	RefSeq:WP_001225291.1, SO:0001217, UniParc:UPI00018880FA, UniRef:UniRef100_A0A0A2RWZ3, UniRef:UniRef50_P75946, UniRef:UniRef90_Q32EW4
contig_1	cds	11884	12243	-	HBKBFK_00012	hinT	purine nucleoside phosphoramidase	COG:COG0537, COG:FR, EC:3.9.1.-, GO:0000166, GO:0016787, RefSeq:WP_000807125.1, SO:0001217, UniParc:UPI000013A677, UniRef:UniRef100_P0ACE8, UniRef:UniRef50_P44956, UniRef:UniRef90_P0ACE8
contig_1	cds	12577	14766	+	HBKBFK_00013	fhuE	ferric-rhodotorulic acid/ferric-coprogen receptor FhuE	COG:COG4773, COG:P, GO:0006879, GO:0009279, GO:0015092, GO:0015343, GO:0015344, GO:0015687, GO:0015891, GO:0016020, GO:0038023, GO:0044718, GO:0072711, GO:1902495, RefSeq:WP_000953406.1, SO:0001217, UniParc:UPI0002185A4A, UniRef:UniRef100_A0A066SWV9, UniRef:UniRef50_P16869, UniRef:UniRef90_P16869
