# Annotated with Bakta
# Software: v1.10.1
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	347	901	+	CLPMBF_00001		Putative transposase	SO:0001217, UniRef:UniRef50_A0A0F6YRQ7, UniRef:UniRef90_A0A0F6YRQ7
contig_1	cds	1125	1514	+	CLPMBF_00002		IS91, transposase, truncation	SO:0001217, UniRef:UniRef50_A0A0K6FJI5, UniRef:UniRef90_A0A0K6FJI5
contig_1	cds	1820	2107	-	CLPMBF_00003	relE	Addiction module toxin RelE	RefSeq:WP_000221869.1, SO:0001217, UniParc:UPI00025C9A92, UniRef:UniRef100_A0A628KA60, UniRef:UniRef50_Q60228, UniRef:UniRef90_Q0H0B6
contig_1	cds	2104	2355	-	CLPMBF_00004		Antitoxin	RefSeq:WP_001132897.1, SO:0001217, UniParc:UPI00025C9A91, UniRef:UniRef100_A0A628K9W3, UniRef:UniRef50_Q5QTT1, UniRef:UniRef90_B1P7P6
contig_1	cds	3316	4392	-	CLPMBF_00005	repA	plasmid replication initiator RepA	SO:0001217, UniParc:UPI00017A8BA9, UniRef:UniRef100_A0A023UFG7, UniRef:UniRef50_Q52221, UniRef:UniRef90_E7BT63
contig_1	sorf	4335	4424	-	CLPMBF_00006	repZ	Initiation protein regulator of RepZ	RefSeq:WP_001387471.1, SO:0001217, UniParc:UPI00000B2505, UniRef:UniRef100_Q3ZTX1, UniRef:UniRef50_A0A7U9FUE5, UniRef:UniRef90_Q3ZTX1
contig_1	ncRNA-region	4360	4508	-			Pseudoknot of the regulatory region of the repZ gene	RFAM:RF01087, SO:0005836
contig_1	ncRNA	5361	5448	+	CLPMBF_00007	C4	C4 antisense RNA	RFAM:RF01695, SO:0000644
contig_1	cds	5501	5788	+	CLPMBF_00008	traA	IncI1 plasmid conjugative transfer protein TraA	RefSeq:WP_000074849.1, SO:0001217, UniParc:UPI00000B1261, UniRef:UniRef100_E2E9F3, UniRef:UniRef50_A0A2S1J9A9, UniRef:UniRef90_A0A2S1J9A9
contig_1	cds	6230	6763	+	CLPMBF_00009		NusG-like N-terminal domain-containing protein	RefSeq:WP_001372168.1, SO:0001217, UniParc:UPI00016BE7AE, UniRef:UniRef100_U6C8J9, UniRef:UniRef50_A0A3G4RQI5, UniRef:UniRef90_A0A3G4RQI5
contig_1	cds	7017	7700	+	CLPMBF_00010	traC	Conjugal transfer protein TraC	RefSeq:WP_000213859.1, SO:0001217, UniParc:UPI00016BE7AD, UniRef:UniRef100_C7SA85, UniRef:UniRef50_A7ZGZ3, UniRef:UniRef90_A7ZGZ3
contig_1	cds	7873	8424	+	CLPMBF_00011	traD	TraD	RefSeq:WP_000744644.1, SO:0001217, UniParc:UPI00000B5888, UniRef:UniRef100_A0A3Z4X129, UniRef:UniRef50_A0A7U9AR41, UniRef:UniRef90_A0A2H5C9T9
contig_1	cds	8586	8840	+	CLPMBF_00012	incI1	IncI1 conjugal transfer protein	RefSeq:WP_001136187.1, SO:0001217, UniParc:UPI00016BE7B1, UniRef:UniRef100_E9LMM5, UniRef:UniRef50_E9T992, UniRef:UniRef90_E9LMM5
contig_1	cds	9016	9312	+	CLPMBF_00013	pilJ	PilJ	RefSeq:WP_000494779.1, SO:0001217, UniParc:UPI00016BE7B2, UniRef:UniRef100_A0A0C5BSW1, UniRef:UniRef50_A0A2P9EGV3, UniRef:UniRef90_A0A0C5BSW1
contig_1	cds	9309	9902	+	CLPMBF_00014		Pili assembly chaperone	RefSeq:WP_001324593.1, SO:0001217, UniParc:UPI00000B5161, UniRef:UniRef100_C7SA81, UniRef:UniRef50_A0A829LDW9, UniRef:UniRef90_A0A829LDW9
contig_1	cds	9936	11003	+	CLPMBF_00015		Type IVB thin prepilin lipoprotein	RefSeq:WP_001302629.1, SO:0001217, UniParc:UPI00000B01D6, UniRef:UniRef100_W0LWA4, UniRef:UniRef50_A0A0H3F2T3, UniRef:UniRef90_A0A0H3F2T3
contig_1	cds	11003	11440	+	CLPMBF_00016	pilM	Conjugative transfer protein PilM	RefSeq:WP_000539807.1, SO:0001217, UniParc:UPI00000BBEE2, UniRef:UniRef100_Q6JAZ7, UniRef:UniRef50_A0A379SEG1, UniRef:UniRef90_Q6JAZ7
contig_1	cds	11454	13136	+	CLPMBF_00017	pilN	PilN family type IVB pilus formation outer membrane protein	GO:0009297, GO:0009306, GO:0019867, RefSeq:WP_000748143.1, SO:0001217, UniParc:UPI00000B7E41, UniRef:UniRef100_C7SA78, UniRef:UniRef50_C7SA78, UniRef:UniRef90_C7SA78
contig_1	cds	13129	14424	+	CLPMBF_00018	pilO2	Type 4b pilus protein PilO2	RefSeq:WP_000752772.1, SO:0001217, UniParc:UPI00000B9882, UniRef:UniRef100_I7A535, UniRef:UniRef50_A0A762C089, UniRef:UniRef90_A0A709GIB3
contig_1	cds	14411	14863	+	CLPMBF_00019	pilP	IncI1 conjugal transfer pilus assembly protein PilP	RefSeq:WP_001247334.1, SO:0001217, UniParc:UPI00000BB8AC, UniRef:UniRef100_I7AQ71, UniRef:UniRef50_A0A379XIC0, UniRef:UniRef90_Q6JB00
contig_1	cds	14874	16427	+	CLPMBF_00020		Flp pilus assembly complex ATPase component	RefSeq:WP_000362202.1, SO:0001217, UniParc:UPI00000BD444, UniRef:UniRef100_Q6JB01, UniRef:UniRef50_Q6JB01, UniRef:UniRef90_Q6JB01
contig_1	cds	16440	17537	+	CLPMBF_00021	pilR	Conjugative transfer inner membrane protein PilR	RefSeq:WP_001208805.1, SO:0001217, UniParc:UPI00000B0759, UniRef:UniRef100_Q6JB02, UniRef:UniRef50_Q6JB02, UniRef:UniRef90_Q6JB02
contig_1	cds	17555	18169	+	CLPMBF_00022	pilS	Type 4 secretion system PilS N-terminal domain-containing protein	RefSeq:WP_000959786.1, SO:0001217, UniParc:UPI0001DC41B6, UniRef:UniRef100_A0A075UG20, UniRef:UniRef50_A0A1V8NRR4, UniRef:UniRef90_A0A2H5C8P2
contig_1	cds	18179	18739	+	CLPMBF_00023	pilT	IncI1 conjugal transfer lytic transglycosylase PilT	RefSeq:WP_000014116.1, SO:0001217, UniParc:UPI00000B1B2E, UniRef:UniRef100_A0A3Z4X142, UniRef:UniRef50_A0A0K2CSD9, UniRef:UniRef90_D9Z519
contig_1	cds	18724	19380	+	CLPMBF_00024	pilU	IncI1 conjugal transfer prepilin peptidase PilU	RefSeq:WP_001389386.1, SO:0001217, UniParc:UPI00000B1B4E, UniRef:UniRef100_A0A075UK05, UniRef:UniRef50_E9LM14, UniRef:UniRef90_E9LM14
contig_1	cds	19380	20672	+	CLPMBF_00025		Shufflon protein A'	RefSeq:WP_001417545.1, SO:0001217, UniParc:UPI000013595A, UniRef:UniRef100_P09746, UniRef:UniRef50_P09746, UniRef:UniRef90_P09746
contig_1	cds	22109	23263	+	CLPMBF_00026	rci	Shufflon-specific DNA recombinase	GO:0003677, GO:0006310, GO:0015074, RefSeq:WP_001139958.1, SO:0001217, UniParc:UPI0000000093, UniRef:UniRef100_P16470, UniRef:UniRef50_P16470, UniRef:UniRef90_P16470
contig_1	cds	23414	24238	+	CLPMBF_00027	traE	Conjugal transfer protein TraE	RefSeq:WP_001238927.1, SO:0001217, UniParc:UPI00000BD0C9, UniRef:UniRef100_E9LLR1, UniRef:UniRef50_A0A2P9E787, UniRef:UniRef90_A0A2P9E787
contig_1	cds	24324	25526	+	CLPMBF_00028	traF	Conjugal transfer protein TraF	RefSeq:WP_000976353.1, SO:0001217, UniParc:UPI00000BD2FC, UniRef:UniRef100_C7SA66, UniRef:UniRef50_C1J8M7, UniRef:UniRef90_A0A2P9E729
contig_1	cds	25586	26170	+	CLPMBF_00029		Lipopolysaccharide core heptose(II)-phosphate phosphatase	RefSeq:WP_137559097.1, SO:0001217, UniParc:UPI0010D497F3, UniRef:UniRef100_UPI0010D497F3, UniRef:UniRef50_A0A0H3ZNW2, UniRef:UniRef90_A0A0H3ZNW2
contig_1	cds	26565	27023	+	CLPMBF_00030	traH	IncI1-type conjugal transfer lipoprotein TraH	BlastRules:WP_001079808, RefSeq:WP_001079808.1, SO:0001217, UniParc:UPI00000BE5E6, UniRef:UniRef100_Q68JB6, UniRef:UniRef50_A0A5B9ASM3, UniRef:UniRef90_A0A5B9ASM3
contig_1	cds	27020	27838	+	CLPMBF_00031	traI	IncI1-type conjugal transfer lipoprotein TraI	BlastRules:WP_000646098, RefSeq:WP_000646097.1, SO:0001217, UniParc:UPI00000B455E, UniRef:UniRef100_C7SA63, UniRef:UniRef50_A0A3S5I475, UniRef:UniRef90_A0A5D8A1T2
contig_1	cds	27835	28983	+	CLPMBF_00032	traJ	plasmid transfer ATPase TraJ	RefSeq:WP_001024972.1, SO:0001217, UniParc:UPI00000B7D8C, UniRef:UniRef100_D9Z522, UniRef:UniRef50_D9Z522, UniRef:UniRef90_D9Z522
contig_1	cds	28980	29270	+	CLPMBF_00033		Conjugal transfer protein	RefSeq:WP_001299214.1, SO:0001217, UniParc:UPI00000B8406, UniRef:UniRef100_I6ZUC1, UniRef:UniRef50_A0A3G8EVD2, UniRef:UniRef90_A0A8F1IF89
contig_1	cds	29285	29836	+	CLPMBF_00034		Putative endonuclease	RefSeq:WP_000014584.1, SO:0001217, UniParc:UPI00000B4E2E, UniRef:UniRef100_E9LLQ3, UniRef:UniRef50_E9LMK4, UniRef:UniRef90_E9LMK4
contig_1	cds	29926	33693	+	CLPMBF_00035		DNA primase	RefSeq:WP_001141534.1, SO:0001217, UniParc:UPI0001F85599, UniRef:UniRef100_E9LLQ2, UniRef:UniRef50_W0LWG7, UniRef:UniRef90_W0LWG7
contig_1	cds	33711	34058	+	CLPMBF_00036		Conjugal transfer protein	RefSeq:WP_001055900.1, SO:0001217, UniParc:UPI00000B32E5, UniRef:UniRef100_C7SA57, UniRef:UniRef50_A0A0J1M692, UniRef:UniRef90_C7SA57
contig_1	cds	34055	34747	+	CLPMBF_00037	traM	Conjugal transfer protein TraM	RefSeq:WP_000138552.1, SO:0001217, UniParc:UPI00000B1A77, UniRef:UniRef100_C7SA56, UniRef:UniRef50_A0A0J1M438, UniRef:UniRef90_A0A8F1IFM9
contig_1	cds	34758	35741	+	CLPMBF_00038	traN	IncI1-type conjugal transfer protein TraN	BlastRules:WP_001191879, RefSeq:WP_001191878.1, SO:0001217, UniParc:UPI00005F04AD, UniRef:UniRef100_E9LLP9, UniRef:UniRef50_A0A6G6AJX9, UniRef:UniRef90_A0A2R4ADM1
contig_1	cds	35744	37033	+	CLPMBF_00039	traO	conjugal transfer protein TraO	RefSeq:WP_001271997.1, SO:0001217, UniParc:UPI00005F04AC, UniRef:UniRef100_E9LLP8, UniRef:UniRef50_A0A2H4TKQ2, UniRef:UniRef90_A0A2H4TKQ2
contig_1	cds	37033	37737	+	CLPMBF_00040	traP	IncI1-type conjugal transfer protein TraP	BlastRules:WP_000801920, RefSeq:WP_000801920.1, SO:0001217, UniParc:UPI00000B48C0, UniRef:UniRef100_E9LLP7, UniRef:UniRef50_U9Z0Q6, UniRef:UniRef90_U9Z0Q6
contig_1	cds	37737	38264	+	CLPMBF_00041	traQ	conjugal transfer protein TraQ	RefSeq:WP_001055569.1, SO:0001217, UniParc:UPI00000B49C5, UniRef:UniRef100_A0A2L1KUB1, UniRef:UniRef50_A0A2P9E6L6, UniRef:UniRef90_A0A2P9E6L6
contig_1	cds	38315	38719	+	CLPMBF_00042	traR	IncI1-type conjugal transfer protein TraR	BlastRules:WP_000086965, RefSeq:WP_000086960.1, SO:0001217, UniParc:UPI00000B7210, UniRef:UniRef100_E9LLP5, UniRef:UniRef50_U9Z656, UniRef:UniRef90_U9Z656
contig_1	cds	38783	38971	+	CLPMBF_00043	traS	putative conjugal transfer protein TraS	BlastRules:WP_001277253, RefSeq:WP_001277255.1, SO:0001217, UniParc:UPI00000B1D81, UniRef:UniRef100_C7SA50, UniRef:UniRef50_A0A829L0S9, UniRef:UniRef90_A0A829L0S9
contig_1	cds	38955	39755	+	CLPMBF_00044	traT	IncI1-type conjugal transfer protein TraT	BlastRules:WP_001164783, RefSeq:WP_001164788.1, SO:0001217, UniParc:UPI00000BD3DA, UniRef:UniRef100_C7SA49, UniRef:UniRef50_A0A2P9E6F0, UniRef:UniRef90_C7SA49
contig_1	cds	39845	42889	+	CLPMBF_00045	traU	IncI1-type conjugal transfer protein TraU	BlastRules:WP_001024789, RefSeq:WP_001024752.1, SO:0001217, UniParc:UPI0001F855F8, UniRef:UniRef100_A0A075UFA7, UniRef:UniRef50_E9LML1, UniRef:UniRef90_A0A5B9SWV2
contig_1	cds	42889	43503	+	CLPMBF_00046	traV	IncI1-type conjugal transfer protein TraV	BlastRules:WP_000337395, RefSeq:WP_000337394.1, SO:0001217, UniParc:UPI000169EDC4, UniRef:UniRef100_C7SA47, UniRef:UniRef50_D8AG13, UniRef:UniRef90_A0A482KCN2
contig_1	cds	43470	44672	+	CLPMBF_00047	traW	IncI1-type conjugal transfer protein TraW	BlastRules:WP_001387490, RefSeq:WP_001189159.1, SO:0001217, UniParc:UPI0001DC4B29, UniRef:UniRef100_E9LLP1, UniRef:UniRef50_A0A0J2D115, UniRef:UniRef90_A0A0J2D115
contig_1	cds	44701	45285	+	CLPMBF_00048	traX	IncI1-type conjugal transfer protein TraX	BlastRules:WP_001037983, RefSeq:WP_001037987.1, SO:0001217, UniParc:UPI00000B32DA, UniRef:UniRef100_I7A4Z6, UniRef:UniRef50_A0A2P9E6G8, UniRef:UniRef90_A0A2P9E6G8
contig_1	cds	45382	47550	+	CLPMBF_00049	traY	IncI1-type conjugal transfer membrane protein TraY	BlastRules:WP_000698353, RefSeq:WP_000698360.1, SO:0001217, UniParc:UPI0001E4C79E, UniRef:UniRef100_U6C989, UniRef:UniRef50_A0A3Q0N5I5, UniRef:UniRef90_A0A723TV11
contig_1	cds	47626	48240	+	CLPMBF_00050	excA	plasmid IncI1-type surface exclusion protein ExcA	RefSeq:WP_000578649.1, SO:0001217, UniParc:UPI0001DC4B27, UniRef:UniRef100_E9LLN8, UniRef:UniRef50_E9LLN8, UniRef:UniRef90_E9LLN8
contig_1	cds	48338	48547	+	CLPMBF_00051		Haemolysin expression modulating protein	RefSeq:WP_001140545.1, SO:0001217, UniParc:UPI000243D041, UniRef:UniRef100_A0A0H0FHU5, UniRef:UniRef50_W0FXP5, UniRef:UniRef90_U6C8I0
contig_1	cds	48756	48932	+	CLPMBF_00052		hypothetical protein	RefSeq:WP_001054900.1, SO:0001217, UniParc:UPI000169EDC7, UniRef:UniRef100_E9LLN7, UniRef:UniRef50_I7A4Z0, UniRef:UniRef90_E9LLN7
contig_1	ncRNA	48996	49083	+	CLPMBF_00053	agrB	ArsR-gov region gene B	RFAM:RF02891, SO:0000655
contig_1	ncRNA	49242	49329	+	CLPMBF_00054	agrB	ArsR-gov region gene B	RFAM:RF02891, SO:0000655
contig_1	ncRNA	49361	49502	-	CLPMBF_00055	sok	sok antitoxin (CssrC)	RFAM:RF01794, SO:0000655
contig_1	cds	49856	50107	+	CLPMBF_00056	pndA	PndA	RefSeq:WP_001291965.1, SO:0001217, UniParc:UPI000169EDC9, UniRef:UniRef100_E9LLN6, UniRef:UniRef50_E9LMI5, UniRef:UniRef90_E9LMI5
